class,cap_shape,cap_surface,bruises,gill_attachment,gill_spacing,gill_size,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,veil_colour,ring_number,ring_type,population
e,f,f,t,f,c,b,t,s,s,w,o,p,y
e,f,s,f,f,w,b,t,s,f,w,o,e,s
e,x,f,t,f,c,b,t,s,s,w,o,p,y
e,x,y,t,f,c,b,t,s,s,w,o,p,y
p,x,s,f,f,c,n,t,k,s,w,o,e,v
p,f,y,f,f,c,n,t,k,k,w,o,e,v
p,f,y,f,f,c,b,e,k,k,w,o,l,y
p,f,s,f,f,c,n,t,k,k,w,o,e,v
p,f,s,f,f,c,n,t,k,s,w,o,e,v
p,f,y,f,f,c,n,t,s,s,w,o,e,v
e,x,f,t,f,c,b,t,s,s,w,o,p,y
e,f,f,t,f,c,b,t,s,s,w,o,p,v
p,f,s,t,f,c,b,t,s,f,w,o,p,v
p,x,f,f,f,c,b,e,k,k,w,o,l,y
e,f,f,t,f,c,b,t,s,s,w,o,p,y
e,f,s,f,f,w,b,t,f,s,w,o,e,a
e,x,y,t,f,c,b,t,s,s,w,o,p,v
p,f,y,f,f,c,b,e,k,k,w,o,l,y
p,x,f,f,f,c,b,e,k,k,w,o,l,y
e,b,y,t,f,c,b,e,s,s,w,o,p,n
e,f,s,f,f,w,b,t,s,f,w,o,e,a
e,x,f,t,f,w,n,t,s,s,w,o,p,v
p,x,y,f,f,c,b,e,k,k,w,o,l,y
p,x,y,f,f,c,n,t,k,s,w,o,e,v
p,x,y,f,f,c,n,t,k,s,w,o,e,v
e,x,f,t,f,c,b,t,s,s,w,o,p,v
p,f,y,f,f,c,n,t,s,s,w,o,e,v
p,x,y,f,f,c,b,e,k,k,w,o,l,y
p,k,y,f,f,c,n,t,s,k,w,o,e,v
e,f,s,f,f,w,b,t,s,f,w,o,e,s
e,b,f,f,f,w,b,e,s,k,w,t,p,n
e,x,y,t,f,c,b,t,s,s,w,o,p,v
p,x,y,f,f,c,n,t,k,k,w,o,e,v
e,f,y,t,f,c,b,t,s,s,w,o,p,y
p,x,s,f,f,c,n,t,s,s,w,o,e,v
e,x,s,f,f,w,b,t,f,s,w,o,e,s
e,x,y,t,f,c,b,t,s,s,w,o,p,v
p,x,y,t,f,c,n,e,s,s,w,o,p,s
e,f,y,t,f,c,b,t,s,s,w,o,p,y
p,x,y,f,f,c,b,e,k,k,w,o,l,y
p,x,y,f,f,c,n,t,k,s,w,o,e,v
e,f,s,t,f,c,b,e,s,s,w,t,p,v
e,f,f,t,f,c,b,t,s,s,w,o,p,v
p,x,s,f,f,c,n,t,s,s,w,o,e,v
e,x,f,t,f,c,b,t,s,s,w,o,p,y
e,b,y,t,f,c,b,e,s,s,w,o,p,n
e,x,y,t,f,c,b,t,s,s,w,o,p,v
e,x,f,t,f,c,b,t,s,s,w,o,p,y
e,x,s,f,f,w,b,t,s,s,w,o,e,s
e,x,f,t,f,c,b,t,s,s,w,o,p,v
p,k,y,f,f,c,n,t,s,k,w,o,e,v
e,x,s,f,f,w,b,t,s,f,w,o,e,s
p,f,y,f,f,c,n,t,k,k,w,o,e,v
e,x,y,t,f,c,b,e,s,y,w,o,p,s
e,f,y,t,f,c,b,t,s,s,w,o,p,v
p,f,s,f,f,c,n,t,s,k,w,o,e,v
