Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1,2,2,4,2,2,1,2,1,1,building_windows_float_processed
2,2,2,4,2,3,1,1,1,1,building_windows_float_processed
3,1,2,4,2,3,1,1,1,1,building_windows_float_processed
4,2,2,4,2,2,1,2,1,1,building_windows_float_processed
5,2,2,4,2,3,1,1,1,1,building_windows_float_processed
6,1,2,4,2,3,1,1,1,3,building_windows_float_processed
7,2,2,4,2,3,1,2,1,1,building_windows_float_processed
8,2,2,4,1,3,1,2,1,1,building_windows_float_processed
9,2,2,4,2,2,1,2,1,1,building_windows_float_processed
10,2,2,4,2,3,1,2,1,1,building_windows_float_processed
11,1,2,4,2,3,1,1,1,2,building_windows_float_processed
12,2,2,4,2,3,1,2,1,1,building_windows_float_processed
13,1,2,4,2,3,1,1,1,2,building_windows_float_processed
14,2,2,4,2,3,1,2,1,2,building_windows_float_processed
15,2,2,4,2,3,1,2,1,1,building_windows_float_processed
16,2,2,4,2,3,1,2,1,1,building_windows_float_processed
17,2,2,4,2,3,1,2,1,1,building_windows_float_processed
18,2,3,4,1,2,1,2,1,1,building_windows_float_processed
19,2,2,4,2,2,1,2,1,1,building_windows_float_processed
20,2,2,4,2,3,1,2,1,1,building_windows_float_processed
21,2,2,4,2,3,1,2,1,2,building_windows_float_processed
22,2,3,4,1,2,1,2,1,1,building_windows_float_processed
23,2,2,4,2,3,1,2,1,1,building_windows_float_processed
24,2,2,4,2,3,1,2,1,1,building_windows_float_processed
25,2,2,4,2,3,1,2,1,1,building_windows_float_processed
26,2,2,4,2,3,1,2,1,1,building_windows_float_processed
27,2,2,4,2,3,1,2,1,1,building_windows_float_processed
28,2,2,4,2,3,1,2,1,1,building_windows_float_processed
29,2,2,4,2,3,1,2,1,1,building_windows_float_processed
30,2,2,4,2,3,1,2,1,1,building_windows_float_processed
31,2,2,4,2,3,1,2,1,2,building_windows_float_processed
32,2,2,4,2,3,1,2,1,1,building_windows_float_processed
33,2,2,4,2,3,1,2,1,2,building_windows_float_processed
34,2,2,4,2,3,1,2,1,1,building_windows_float_processed
35,2,2,4,2,3,1,2,1,1,building_windows_float_processed
36,1,2,4,2,3,1,2,1,1,building_windows_float_processed
37,2,2,4,2,2,1,2,1,1,building_windows_float_processed
38,2,2,4,2,3,1,2,1,1,building_windows_float_processed
39,2,3,4,1,2,1,2,1,1,building_windows_float_processed
40,2,3,4,1,2,1,2,1,1,building_windows_float_processed
41,2,2,4,2,3,1,2,1,1,building_windows_float_processed
42,2,2,4,2,3,1,2,1,1,building_windows_float_processed
43,2,2,4,2,3,1,2,1,1,building_windows_float_processed
44,2,2,4,1,2,1,2,1,1,building_windows_float_processed
45,2,2,4,2,3,1,2,1,3,building_windows_float_processed
46,2,2,4,2,2,1,2,1,1,building_windows_float_processed
47,2,2,3,2,3,1,2,1,2,building_windows_float_processed
48,3,2,4,1,2,1,2,1,1,building_windows_float_processed
49,2,2,4,1,2,1,2,1,1,building_windows_float_processed
50,2,2,3,2,2,1,2,1,1,building_windows_float_processed
51,3,2,4,1,2,1,2,1,2,building_windows_float_processed
52,2,2,3,2,2,1,2,1,1,building_windows_float_processed
53,2,2,3,2,3,1,2,1,1,building_windows_float_processed
54,2,2,3,2,3,1,2,1,1,building_windows_float_processed
