Id,Ca,Si,Type
1,low,medium,building_windows_non_float_processed
2,medium,high,containers
3,medium,medium,building_windows_float_processed
4,medium,medium,building_windows_float_processed
5,medium,medium,building_windows_float_processed
6,low,medium,building_windows_float_processed
7,low,medium,building_windows_float_processed
8,low,medium,building_windows_non_float_processed
9,medium,medium,building_windows_float_processed
10,medium,medium,building_windows_float_processed
11,medium,high,building_windows_non_float_processed
12,medium,medium,building_windows_float_processed
13,medium,medium,building_windows_float_processed
14,low,medium,vehicle_windows_float_processed
15,low,medium,building_windows_non_float_processed
16,low,medium,building_windows_non_float_processed
17,low,medium,building_windows_non_float_processed
18,low,medium,vehicle_windows_float_processed
19,medium,medium,building_windows_float_processed
20,low,medium,building_windows_non_float_processed
21,low,medium,building_windows_non_float_processed
22,low,medium,headlamps
23,low,medium,building_windows_non_float_processed
24,low,high,tableware
25,low,medium,vehicle_windows_float_processed
26,medium,medium,headlamps
27,low,medium,building_windows_float_processed
28,medium,medium,headlamps
29,low,medium,building_windows_float_processed
30,high,medium,building_windows_non_float_processed
31,low,medium,building_windows_non_float_processed
32,low,medium,building_windows_non_float_processed
33,low,medium,building_windows_float_processed
34,low,medium,building_windows_float_processed
35,low,medium,headlamps
36,medium,medium,building_windows_float_processed
37,low,medium,headlamps
38,low,medium,building_windows_non_float_processed
39,low,medium,headlamps
40,low,medium,building_windows_float_processed
41,medium,medium,building_windows_float_processed
42,low,medium,vehicle_windows_float_processed
43,medium,medium,building_windows_non_float_processed
44,high,low,building_windows_non_float_processed
45,low,high,headlamps
46,medium,medium,headlamps
47,medium,low,building_windows_non_float_processed
48,low,medium,vehicle_windows_float_processed
49,low,medium,building_windows_float_processed
50,low,medium,building_windows_float_processed
51,low,medium,building_windows_float_processed
52,medium,low,vehicle_windows_float_processed
53,low,medium,building_windows_float_processed
54,high,medium,building_windows_non_float_processed
55,low,medium,vehicle_windows_float_processed
56,medium,low,vehicle_windows_float_processed
57,low,medium,building_windows_float_processed
58,low,medium,building_windows_float_processed
59,low,medium,building_windows_non_float_processed
60,high,medium,building_windows_non_float_processed
61,low,low,headlamps
62,low,low,containers
63,low,medium,building_windows_non_float_processed
64,medium,medium,containers
65,low,medium,building_windows_float_processed
66,medium,medium,building_windows_non_float_processed
67,medium,low,headlamps
68,medium,low,building_windows_float_processed
69,low,medium,building_windows_float_processed
70,medium,medium,building_windows_non_float_processed
71,low,medium,vehicle_windows_float_processed
72,medium,medium,vehicle_windows_float_processed
73,low,medium,building_windows_float_processed
74,low,medium,building_windows_float_processed
75,low,medium,building_windows_non_float_processed
76,medium,high,building_windows_float_processed
77,low,medium,building_windows_non_float_processed
78,low,medium,building_windows_non_float_processed
79,low,high,building_windows_non_float_processed
80,low,medium,building_windows_non_float_processed
81,medium,high,containers
82,low,medium,vehicle_windows_float_processed
83,medium,low,building_windows_float_processed
84,low,medium,building_windows_float_processed
85,low,medium,building_windows_float_processed
86,medium,medium,building_windows_non_float_processed
87,low,medium,building_windows_non_float_processed
88,medium,low,building_windows_non_float_processed
