Id,Al,Na,Type
1,low,medium,building_windows_float_processed
2,medium,medium,building_windows_float_processed
3,medium,medium,building_windows_float_processed
4,low,medium,building_windows_float_processed
5,low,medium,building_windows_float_processed
6,medium,low,building_windows_float_processed
7,low,medium,building_windows_float_processed
8,low,medium,building_windows_float_processed
9,medium,medium,building_windows_float_processed
10,medium,medium,building_windows_float_processed
11,medium,low,building_windows_float_processed
12,low,low,building_windows_float_processed
13,medium,low,building_windows_float_processed
14,low,low,building_windows_float_processed
15,low,low,building_windows_float_processed
16,low,low,building_windows_float_processed
17,low,low,building_windows_float_processed
18,low,medium,building_windows_float_processed
19,low,medium,building_windows_float_processed
20,medium,medium,building_windows_float_processed
21,medium,low,building_windows_float_processed
22,low,medium,building_windows_float_processed
23,low,low,building_windows_float_processed
24,low,low,building_windows_float_processed
25,low,medium,building_windows_float_processed
26,low,medium,building_windows_float_processed
27,medium,medium,building_windows_float_processed
28,low,low,building_windows_float_processed
29,medium,low,building_windows_float_processed
30,low,medium,building_windows_float_processed
31,low,low,building_windows_float_processed
32,low,low,building_windows_float_processed
33,low,low,building_windows_float_processed
34,medium,low,building_windows_float_processed
35,low,low,building_windows_float_processed
36,low,medium,building_windows_float_processed
37,low,medium,building_windows_float_processed
38,low,low,building_windows_float_processed
39,low,medium,building_windows_float_processed
40,low,medium,building_windows_float_processed
41,low,low,building_windows_float_processed
42,low,low,building_windows_float_processed
43,low,medium,building_windows_float_processed
44,low,medium,building_windows_float_processed
45,low,low,building_windows_float_processed
46,low,medium,building_windows_float_processed
47,low,medium,building_windows_float_processed
48,low,medium,building_windows_float_processed
49,low,medium,building_windows_float_processed
50,low,medium,building_windows_float_processed
51,low,medium,building_windows_float_processed
52,low,medium,building_windows_float_processed
53,low,medium,building_windows_float_processed
54,low,medium,building_windows_float_processed
55,low,medium,building_windows_float_processed
56,low,low,building_windows_float_processed
57,low,medium,building_windows_float_processed
58,low,low,building_windows_float_processed
59,low,medium,building_windows_float_processed
60,low,medium,building_windows_float_processed
61,low,medium,building_windows_float_processed
62,low,medium,building_windows_float_processed
63,low,medium,building_windows_float_processed
64,low,medium,building_windows_float_processed
65,low,medium,building_windows_float_processed
66,low,medium,building_windows_float_processed
67,low,medium,building_windows_float_processed
68,low,medium,building_windows_float_processed
69,low,medium,building_windows_float_processed
70,low,medium,building_windows_float_processed
71,medium,medium,building_windows_non_float_processed
72,low,medium,building_windows_non_float_processed
73,medium,medium,building_windows_non_float_processed
74,medium,medium,building_windows_non_float_processed
75,medium,medium,building_windows_non_float_processed
76,medium,medium,building_windows_non_float_processed
77,medium,medium,building_windows_non_float_processed
78,medium,medium,building_windows_non_float_processed
79,low,medium,building_windows_non_float_processed
80,medium,low,building_windows_non_float_processed
81,medium,low,building_windows_non_float_processed
82,medium,medium,building_windows_non_float_processed
83,low,medium,building_windows_non_float_processed
84,medium,medium,building_windows_non_float_processed
85,medium,medium,building_windows_non_float_processed
86,medium,medium,building_windows_non_float_processed
87,medium,medium,building_windows_non_float_processed
88,medium,medium,building_windows_non_float_processed
89,medium,medium,building_windows_non_float_processed
90,medium,low,building_windows_non_float_processed
91,low,low,building_windows_non_float_processed
92,medium,low,building_windows_non_float_processed
93,medium,medium,building_windows_non_float_processed
94,medium,medium,building_windows_non_float_processed
95,medium,low,building_windows_non_float_processed
96,medium,medium,building_windows_non_float_processed
97,low,medium,building_windows_non_float_processed
98,low,low,building_windows_non_float_processed
99,medium,low,building_windows_non_float_processed
100,medium,medium,building_windows_non_float_processed
101,medium,low,building_windows_non_float_processed
102,medium,low,building_windows_non_float_processed
103,low,low,building_windows_non_float_processed
104,low,medium,building_windows_non_float_processed
105,low,medium,building_windows_non_float_processed
106,medium,low,building_windows_non_float_processed
107,medium,low,building_windows_non_float_processed
108,low,low,building_windows_non_float_processed
109,low,medium,building_windows_non_float_processed
110,low,medium,building_windows_non_float_processed
111,low,low,building_windows_non_float_processed
112,low,low,building_windows_non_float_processed
113,low,low,building_windows_non_float_processed
114,low,medium,building_windows_non_float_processed
115,low,medium,building_windows_non_float_processed
116,low,medium,building_windows_non_float_processed
117,medium,medium,building_windows_non_float_processed
118,medium,medium,building_windows_non_float_processed
119,medium,medium,building_windows_non_float_processed
120,medium,medium,building_windows_non_float_processed
121,low,medium,building_windows_non_float_processed
122,medium,low,building_windows_non_float_processed
123,medium,medium,building_windows_non_float_processed
124,medium,medium,building_windows_non_float_processed
125,low,medium,building_windows_non_float_processed
126,medium,low,building_windows_non_float_processed
127,low,low,building_windows_non_float_processed
128,medium,medium,building_windows_non_float_processed
129,medium,medium,building_windows_non_float_processed
130,medium,medium,building_windows_non_float_processed
131,medium,medium,building_windows_non_float_processed
132,medium,medium,building_windows_non_float_processed
133,low,medium,building_windows_non_float_processed
134,medium,medium,building_windows_non_float_processed
135,low,medium,building_windows_non_float_processed
136,low,medium,building_windows_non_float_processed
137,low,medium,building_windows_non_float_processed
138,medium,low,building_windows_non_float_processed
139,medium,low,building_windows_non_float_processed
140,medium,low,building_windows_non_float_processed
141,medium,medium,building_windows_non_float_processed
142,low,medium,building_windows_non_float_processed
143,medium,low,building_windows_non_float_processed
144,medium,medium,building_windows_non_float_processed
145,low,medium,building_windows_non_float_processed
146,low,low,building_windows_non_float_processed
147,low,medium,vehicle_windows_float_processed
148,low,medium,vehicle_windows_float_processed
149,medium,medium,vehicle_windows_float_processed
150,low,low,vehicle_windows_float_processed
151,medium,medium,vehicle_windows_float_processed
152,low,medium,vehicle_windows_float_processed
153,low,medium,vehicle_windows_float_processed
154,low,medium,vehicle_windows_float_processed
155,low,low,vehicle_windows_float_processed
156,low,medium,vehicle_windows_float_processed
157,low,medium,vehicle_windows_float_processed
158,low,medium,vehicle_windows_float_processed
159,medium,medium,vehicle_windows_float_processed
160,medium,medium,vehicle_windows_float_processed
161,medium,medium,vehicle_windows_float_processed
162,low,medium,vehicle_windows_float_processed
163,low,medium,vehicle_windows_float_processed
164,high,medium,containers
165,medium,low,containers
166,medium,low,containers
167,medium,low,containers
168,medium,low,containers
169,medium,low,containers
170,medium,medium,containers
171,medium,medium,containers
172,high,medium,containers
173,high,medium,containers
174,medium,medium,containers
175,medium,low,containers
176,medium,medium,containers
177,medium,medium,tableware
178,low,medium,tableware
179,medium,medium,tableware
180,medium,medium,tableware
181,medium,medium,tableware
182,medium,medium,tableware
183,medium,medium,tableware
184,low,medium,tableware
185,low,high,tableware
186,medium,medium,headlamps
187,medium,medium,headlamps
188,low,medium,headlamps
189,medium,medium,headlamps
190,low,high,headlamps
191,medium,medium,headlamps
192,medium,medium,headlamps
193,high,medium,headlamps
194,medium,medium,headlamps
195,medium,medium,headlamps
196,high,medium,headlamps
197,high,medium,headlamps
198,medium,medium,headlamps
199,high,medium,headlamps
200,high,medium,headlamps
201,medium,medium,headlamps
202,low,low,headlamps
203,medium,medium,headlamps
204,medium,medium,headlamps
205,medium,medium,headlamps
206,medium,medium,headlamps
207,medium,medium,headlamps
208,medium,medium,headlamps
209,high,medium,headlamps
210,high,medium,headlamps
211,medium,medium,headlamps
212,medium,medium,headlamps
213,medium,medium,headlamps
214,medium,medium,headlamps
