rn,Divorced,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed
Adm-clerical,0.0269544459916451,0.000165771500563623,0.0321928254094556,0.00195610370665075,0.0519196339765268,0.00477421921623235,0.00540415091837411
Armed-Forces,0,0,0.0000994629003381739,0,0.000198925800676348,0,0
Craft-repair,0.0151846694516279,0.0000994629003381739,0.0836814534845169,0.00155825210529806,0.0284795437968304,0.00328227571115974,0.00132617200450898
Exec-managerial,0.0198925800676348,0.0000331543001127246,0.0794045487699755,0.00102778330349446,0.0259598169882634,0.00301704131025794,0.00301704131025794
Farming-fishing,0.00212187520721438,0.0000331543001127246,0.0190637225648167,0.000795703202705391,0.00941582123201379,0.000596777402029043,0.000762548902592666
Handlers-cleaners,0.00424375041442875,0,0.0151515151515152,0.000729394602479942,0.0228101584775545,0.00125986340428354,0.000563623101916319
Machine-op-inspct,0.00911743253099927,0,0.0321265168092302,0.000795703202705391,0.0186327166633512,0.00278496120946887,0.00172402360586168
Other-service,0.0162787613553478,0.000132617200450898,0.0231748557787945,0.00182348650619985,0.0533121145812612,0.00613354552085406,0.00563623101916319
Priv-house-serv,0.000895166103043565,0,0.000497314501690869,0.000132617200450898,0.00208872090710165,0.000397851601352695,0.000729394602479942
Prof-specialty,0.0177043962601949,0.0000994629003381739,0.0684967840328891,0.00145878920495988,0.0399840859359459,0.00311650421059611,0.00301704131025794
Protective-serv,0.00261918970890524,0.0000331543001127246,0.0125654797427226,0.000165771500563623,0.00513891651747232,0.000530468801803594,0.000298388701014522
Sales,0.0142563490484716,0.0000663086002254492,0.0540746634838539,0.00109409190371991,0.0427690471454148,0.00308334991048339,0.00348120151183609
Tech-support,0.00450898481533055,0,0.0132285657449771,0.000198925800676348,0.0107419932365228,0.000928320403156289,0.000629931702141768
Transport-moving,0.00593461972017771,0.0000331543001127246,0.0325575227106956,0.000530468801803594,0.0110072276374246,0.00122670910417081,0.000828857502818116
