rn,Federal-gov,Local-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay
Cambodia,0.0000331543001127246,0,0.000530468801803594,0,0.0000331543001127246,0,0
Canada,0.0000663086002254492,0.000198925800676348,0.00261918970890524,0.000198925800676348,0.000364697301239971,0.0000994629003381739,0
China,0.0000331543001127246,0.0000994629003381739,0.00162456070552351,0.0000331543001127246,0.000165771500563623,0.000298388701014522,0
Columbia,0.0000663086002254492,0,0.00152509780518533,0,0.000232080100789072,0.0000331543001127246,0
Cuba,0.0000663086002254492,0.000132617200450898,0.002287646707778,0.000298388701014522,0.000265234400901797,0,0
Dominican-Republic,0,0.0000994629003381739,0.00198925800676348,0.0000663086002254492,0.0000663086002254492,0,0
Ecuador,0,0.0000331543001127246,0.000828857502818116,0,0.0000331543001127246,0,0
El-Salvador,0.0000663086002254492,0.000165771500563623,0.00291757840991977,0.0000331543001127246,0.000132617200450898,0,0
England,0.000132617200450898,0.000165771500563623,0.00208872090710165,0.0000663086002254492,0.000298388701014522,0.0000994629003381739,0
France,0.0000331543001127246,0.0000994629003381739,0.000629931702141768,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0
Germany,0.000165771500563623,0.000298388701014522,0.00321596711093429,0.000198925800676348,0.000198925800676348,0.000165771500563623,0
Greece,0,0.0000331543001127246,0.000596777402029043,0.0000994629003381739,0.000232080100789072,0,0
Guatemala,0.0000331543001127246,0.0000994629003381739,0.00195610370665075,0,0,0,0
Haiti,0,0.000132617200450898,0.00116040050394536,0.0000331543001127246,0,0.0000663086002254492,0
Holand-Netherlands,0,0,0.0000331543001127246,0,0,0,0
Honduras,0,0.0000331543001127246,0.000232080100789072,0.0000663086002254492,0.0000331543001127246,0.0000331543001127246,0
Hong,0,0.0000331543001127246,0.000530468801803594,0,0,0.0000663086002254492,0
Hungary,0,0,0.000298388701014522,0.0000331543001127246,0.0000994629003381739,0,0
India,0.0000663086002254492,0.0000663086002254492,0.00232080100789072,0.000232080100789072,0.000232080100789072,0.000397851601352695,0
Iran,0.0000663086002254492,0.0000663086002254492,0.00086201180293084,0.0000663086002254492,0.000298388701014522,0.0000331543001127246,0
Ireland,0,0,0.000762548902592666,0,0.0000331543001127246,0,0
Italy,0.0000331543001127246,0.0000663086002254492,0.00155825210529806,0.0000994629003381739,0.00043100590146542,0.0000663086002254492,0
Jamaica,0,0.000132617200450898,0.002287646707778,0.0000331543001127246,0.000132617200450898,0.0000663086002254492,0
Japan,0.0000994629003381739,0.0000331543001127246,0.00149194350507261,0.0000663086002254492,0.000198925800676348,0.0000663086002254492,0
Laos,0.0000331543001127246,0.0000331543001127246,0.000497314501690869,0,0,0,0
Mexico,0.0000331543001127246,0.000596777402029043,0.0183343279623367,0.000265234400901797,0.000895166103043565,0.0000994629003381739,0
Nicaragua,0.0000331543001127246,0.0000663086002254492,0.000895166103043565,0,0.0000663086002254492,0.0000331543001127246,0
Outlying-US(Guam-USVI-etc),0,0.0000331543001127246,0.000364697301239971,0,0.0000331543001127246,0.0000331543001127246,0
Peru,0,0.0000331543001127246,0.000895166103043565,0,0.0000663086002254492,0,0
Philippines,0.000397851601352695,0.000331543001127246,0.00513891651747232,0.0000663086002254492,0.000165771500563623,0.0000994629003381739,0.0000331543001127246
Poland,0.0000331543001127246,0.0000994629003381739,0.00155825210529806,0.0000331543001127246,0.000132617200450898,0,0
Portugal,0.0000331543001127246,0.0000331543001127246,0.000895166103043565,0.0000663086002254492,0.0000663086002254492,0.0000331543001127246,0
Puerto-Rico,0.000265234400901797,0.000232080100789072,0.00281811550958159,0,0.000165771500563623,0.000132617200450898,0
Scotland,0,0,0.000298388701014522,0,0.0000331543001127246,0.0000331543001127246,0
South,0.0000331543001127246,0,0.00142563490484716,0.000232080100789072,0.000663086002254492,0,0
Taiwan,0,0.0000663086002254492,0.00086201180293084,0.000232080100789072,0.0000331543001127246,0.000198925800676348,0
Thailand,0,0,0.000331543001127246,0.0000994629003381739,0.0000994629003381739,0.0000331543001127246,0
Trinadad&Tobago,0,0.0000331543001127246,0.000464160201578145,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0
United-States,0.029374709899874,0.0648498110204894,0.66756183276971,0.0328559114117101,0.076685896160732,0.0401167031363968,0.00043100590146542
Vietnam,0.0000663086002254492,0.0000994629003381739,0.0017571779059744,0.0000331543001127246,0.000132617200450898,0.0000331543001127246,0
Yugoslavia,0,0.0000331543001127246,0.00043100590146542,0.0000331543001127246,0.0000331543001127246,0,0
