Outcome,Method,Location
success,new,onsite
success,new,onsite
success,old,onsite
failure,old,remote
success,old,onsite
success,new,onsite
failure,old,remote
failure,new,remote
success,new,onsite
failure,new,onsite
success,new,onsite
failure,new,remote
success,old,remote
failure,old,remote
failure,new,remote
success,old,remote
success,new,onsite
success,new,onsite
success,new,onsite
failure,new,remote
success,new,onsite
failure,old,remote
success,new,onsite
failure,old,remote
failure,old,remote
failure,old,remote
failure,new,remote
failure,old,remote
success,old,remote
success,old,onsite
success,new,onsite
success,old,remote
failure,new,onsite
failure,new,remote
failure,old,remote
success,old,remote
success,new,onsite
failure,old,remote
failure,new,onsite
failure,old,remote
success,old,onsite
success,old,remote
failure,new,remote
success,new,onsite
failure,new,onsite
failure,old,onsite
success,new,remote
success,old,onsite
success,new,onsite
success,old,remote
failure,old,remote
success,old,onsite
failure,old,remote
failure,old,remote
failure,old,remote
failure,new,remote
failure,old,remote
success,old,remote
success,new,onsite
success,old,onsite
success,new,onsite
failure,new,onsite
failure,old,remote
success,new,onsite
success,old,onsite
success,old,onsite
success,new,onsite
success,old,onsite
failure,old,onsite
failure,old,remote
failure,new,remote
success,old,onsite
failure,old,remote
success,old,onsite
failure,new,onsite
failure,old,onsite
failure,old,remote
failure,new,onsite
success,new,remote
failure,old,remote
