workclass,education,marital_status,occupation,relationship,race,sex,native_country,income
Federal-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Other,Female,France,>50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,Germany,>50K
State-gov,7th-8th,Separated,Protective-serv,Husband,Asian-Pac-Islander,Male,Germany,>50K
Private,Assoc-voc,Widowed,Armed-Forces,Husband,White,Female,Yugoslavia,<=50K
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,Hungary,>50K
State-gov,Masters,Married-civ-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,Poland,>50K
Self-emp-not-inc,11th,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,Scotland,<=50K
Self-emp-inc,10th,Separated,Armed-Forces,Own-child,Asian-Pac-Islander,Male,Germany,>50K
State-gov,Bachelors,Married-spouse-absent,Farming-fishing,Not-in-family,White,Female,Laos,>50K
Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,United-States,<=50K
Without-pay,7th-8th,Divorced,Armed-Forces,Unmarried,Black,Female,El-Salvador,<=50K
Self-emp-not-inc,HS-grad,Married-AF-spouse,Other-service,Not-in-family,White,Female,Ecuador,<=50K
Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Local-gov,Bachelors,Widowed,Adm-clerical,Wife,Asian-Pac-Islander,Male,Columbia,<=50K
Self-emp-not-inc,Bachelors,Widowed,Priv-house-serv,Own-child,Black,Female,Thailand,>50K
Self-emp-not-inc,Assoc-voc,Separated,Armed-Forces,Husband,Asian-Pac-Islander,Male,Ecuador,<=50K
Self-emp-inc,10th,Married-civ-spouse,Adm-clerical,Other-relative,Black,Female,Dominican-Republic,<=50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
State-gov,Assoc-acdm,Separated,Protective-serv,Wife,Black,Male,Hungary,>50K
State-gov,10th,Separated,Sales,Unmarried,Other,Female,France,<=50K
Private,7th-8th,Married-AF-spouse,Armed-Forces,Other-relative,Black,Male,Guatemala,<=50K
Self-emp-not-inc,1st-4th,Divorced,Handlers-cleaners,Own-child,Black,Male,Jamaica,>50K
Self-emp-inc,9th,Married-civ-spouse,Priv-house-serv,Husband,Other,Female,Greece,>50K
State-gov,Some-college,Divorced,Tech-support,Husband,White,Female,Japan,>50K
Local-gov,Assoc-acdm,Separated,Handlers-cleaners,Wife,White,Female,Nicaragua,>50K
