Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1,3,3,5,2,2,1,2,1,1,building_windows_float_processed
2,2,3,4,2,3,1,2,1,1,building_windows_float_processed
3,2,3,4,2,3,1,2,1,1,building_windows_float_processed
4,2,2,5,2,3,1,2,1,1,building_windows_float_processed
5,2,2,5,2,3,1,2,1,1,building_windows_float_processed
6,2,2,5,3,3,1,2,1,3,building_windows_float_processed
7,2,2,4,2,3,1,2,1,1,building_windows_float_processed
8,2,2,5,2,4,1,2,1,1,building_windows_float_processed
9,2,3,4,2,3,1,2,1,1,building_windows_float_processed
10,2,2,4,2,3,1,2,1,2,building_windows_float_processed
11,2,2,4,2,4,1,2,1,3,building_windows_float_processed
12,2,2,5,2,3,1,2,1,1,building_windows_float_processed
13,2,2,4,2,4,1,2,1,3,building_windows_float_processed
14,2,2,4,2,4,1,2,1,2,building_windows_float_processed
15,2,2,4,2,4,1,2,1,1,building_windows_float_processed
16,2,2,4,2,4,1,2,1,1,building_windows_float_processed
17,2,2,5,2,3,1,2,1,1,building_windows_float_processed
18,3,3,5,1,2,1,2,1,1,building_windows_float_processed
19,2,3,5,2,3,1,2,1,1,building_windows_float_processed
20,2,2,4,3,3,1,2,1,1,building_windows_float_processed
21,2,2,4,2,3,1,2,1,2,building_windows_float_processed
22,2,4,5,1,2,1,2,1,1,building_windows_float_processed
23,2,2,5,2,3,1,2,1,1,building_windows_float_processed
24,2,2,4,2,3,1,2,1,1,building_windows_float_processed
25,2,2,4,2,3,1,2,1,1,building_windows_float_processed
26,2,2,4,2,3,1,2,1,1,building_windows_float_processed
27,2,2,4,2,3,1,2,1,1,building_windows_float_processed
28,2,2,4,2,3,1,2,1,1,building_windows_float_processed
29,2,2,4,2,3,1,2,1,1,building_windows_float_processed
30,2,2,4,2,3,1,2,1,1,building_windows_float_processed
31,2,2,4,2,3,1,2,1,2,building_windows_float_processed
32,2,2,4,2,4,1,2,1,1,building_windows_float_processed
33,2,2,4,2,3,1,2,1,3,building_windows_float_processed
34,2,2,4,2,4,1,2,1,1,building_windows_float_processed
35,2,2,4,2,3,1,2,1,1,building_windows_float_processed
36,1,2,4,2,3,1,2,1,1,building_windows_float_processed
