variate,N,V1,V2,V3,V4,V5,V6,V7,Explain1,Explain2,Explain3,Explain4,Explain5,Explain6,Explain7
RI,4,1,2,3,4,,,,x<=1.517,1.517<x<=1.523,1.523<x<=1.529,1.529<x,,,
Na,4,1,2,3,4,,,,x<=12.4,12.4<x<=14.1,14.1<x<=15.8,15.8<x,,,
Mg,4,1,2,3,4,,,,x<=1.1,1.1<x<=2.3,2.3<x<=3.5,3.5<x,,,
Al,4,1,2,3,4,,,,x<=1,1<x<=1.9,1.9<x<=2.8,2.8<x,,,
Si,4,1,2,3,4,,,,x<=71.2,71.2<x<=72.7,72.7<x<=74.2,74.2<x,,,
K,4,1,2,3,4,,,,x<=1.6,1.6<x<=3.2,3.2<x<=4.8,4.8<x,,,
Ca,4,1,2,3,4,,,,x<=8,8<x<=11,11<x<=14,14<x,,,
Ba,4,1,2,3,4,,,,x<=0.8,0.8<x<=1.6,1.6<x<=2.4,2.4<x,,,
Fe,4,1,2,3,4,,,,x<=0.13,0.13<x<=0.26,0.26<x<=0.39,0.39<x,,,
Type,7,T1,T2,T3,T4,T5,T6,T7,building_windows_float_processed,building_windows_non_float_processed,containers,headlamps,tableware,vehicle_windows_float_processed,vehicle_windows_non_float_processed
