no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,arrival_day,booking_status
2,0,1,2,Meal Plan 1,N,Room_Type 1,224,Offline,N,0,0,65,0,276,Not_Canceled
2,0,2,3,Not Selected,N,Room_Type 1,5,Online,N,0,0,106.68,1,311,Not_Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 1,1,Online,N,0,0,60,0,59,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,211,Online,N,0,0,100,0,141,Canceled
2,0,1,1,Not Selected,N,Room_Type 1,48,Online,N,0,0,94.5,0,102,Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,346,Online,N,0,0,115,1,257,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,34,Online,N,0,0,107.55,1,289,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 4,83,Online,N,0,0,105.61,1,361,Not_Canceled
3,0,0,4,Meal Plan 1,N,Room_Type 1,121,Offline,N,0,0,96.9,1,188,Not_Canceled
2,0,0,5,Meal Plan 1,N,Room_Type 4,44,Online,N,0,0,133.44,3,292,Not_Canceled
1,0,1,0,Not Selected,N,Room_Type 1,0,Online,N,0,0,85.03,0,255,Not_Canceled
1,0,2,1,Meal Plan 1,N,Room_Type 4,35,Online,N,0,0,140.4,1,121,Not_Canceled
2,0,2,1,Not Selected,N,Room_Type 1,30,Online,N,0,0,88,0,331,Canceled
1,0,2,0,Meal Plan 1,N,Room_Type 1,95,Online,N,0,0,90,2,325,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,47,Online,N,0,0,94.5,2,294,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,256,Online,N,0,0,115,1,167,Canceled
1,0,1,0,Meal Plan 1,N,Room_Type 1,0,Offline,N,0,0,96,0,279,Not_Canceled
2,0,1,3,Not Selected,N,Room_Type 1,1,Online,N,0,0,96,1,223,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,99,Online,N,0,0,65,0,304,Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,12,Offline,N,0,0,72,0,278,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,99,Online,N,0,0,65,0,304,Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,122,Corporate,N,0,0,67,0,330,Not_Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,2,Offline,N,0,0,85,0,80,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,37,Offline,N,0,0,105,0,287,Not_Canceled
2,0,2,1,Not Selected,N,Room_Type 1,130,Online,N,0,0,94.5,1,143,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,99,Online,N,0,0,114.3,1,119,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,60,Offline,N,0,0,65,0,265,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 4,2,Aviation,N,0,0,110,0,140,Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,37,Online,N,0,0,37.33,0,311,Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,56,Offline,N,0,0,82,0,261,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,3,Online,N,0,0,177.5,1,263,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,107,Online,N,0,0,87.5,1,318,Not_Canceled
0,2,0,3,Meal Plan 1,N,Room_Type 2,56,Online,N,0,0,82.44,1,342,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,2,Online,N,0,0,69.5,1,9,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,72,Offline,N,0,0,85.5,0,281,Not_Canceled
2,0,0,1,Not Selected,Y,Room_Type 1,23,Online,N,0,0,115,1,118,Not_Canceled
