rn,10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college
Adm-clerical,0.00125986340428354,0.00222133810755255,0.00119355480405809,0,0.000198925800676348,0.000364697301239971,0.000464160201578145,0.0063324713215304,0.00547045951859956,0.0165108414561369,0.000132617200450898,0.0447583051521782,0.00222133810755255,0.0000663086002254492,0.000265234400901797,0.0419070353424839
Armed-Forces,0,0,0.0000331543001127246,0,0,0,0,0,0,0.0000331543001127246,0,0.000132617200450898,0.0000331543001127246,0,0,0.0000663086002254492
Craft-repair,0.00540415091837411,0.00573569391950136,0.00182348650619985,0.000762548902592666,0.00135932630462171,0.00368012731251243,0.00308334991048339,0.00377959021285061,0.00822226642795571,0.00729394602479942,0.0000663086002254492,0.0630926331145149,0.000696240302367217,0.000132617200450898,0.000232080100789072,0.0282474636960414
Exec-managerial,0.000795703202705391,0.00109409190371991,0.00043100590146542,0.0000994629003381739,0.0000331543001127246,0.000596777402029043,0.000397851601352695,0.00474106491611962,0.00497314501690869,0.0441946820502619,0.00179033220608713,0.026490285790067,0.0162787613553478,0,0.00159140640541078,0.0288442410980704
Farming-fishing,0.00142563490484716,0.00122670910417081,0.000530468801803594,0.000596777402029043,0.00119355480405809,0.002287646707778,0.000928320403156289,0.000464160201578145,0.00172402360586168,0.0025528811086798,0.0000331543001127246,0.0132948743452026,0.000331543001127246,0.000298388701014522,0.000132617200450898,0.00576884821961408
Handlers-cleaners,0.00235395530800345,0.0040448246137524,0.00122670910417081,0.000530468801803594,0.00129301770439626,0.00152509780518533,0.00162456070552351,0.000729394602479942,0.000928320403156289,0.00159140640541078,0,0.0199920429679729,0.000165771500563623,0.0000663086002254492,0,0.00868642662953385
Machine-op-inspct,0.00334858431138519,0.00328227571115974,0.00112724620383264,0.000762548902592666,0.00165771500563623,0.00305019561037067,0.00248657250845435,0.00109409190371991,0.00205556660698893,0.00195610370665075,0.0000331543001127246,0.0335189974139646,0.000265234400901797,0.000364697301239971,0,0.0101783701346065
Other-service,0.00639877992175585,0.00789072342682846,0.00275180690935614,0.00125986340428354,0.00198925800676348,0.00301704131025794,0.00324912141104701,0.00258603540879252,0.00364697301239971,0.00563623101916319,0,0.041542338041244,0.000596777402029043,0.000464160201578145,0.000132617200450898,0.0253298852861216
Priv-house-serv,0.000198925800676348,0.000464160201578145,0.000132617200450898,0.000364697301239971,0.000464160201578145,0.000265234400901797,0.000331543001127246,0.0000663086002254492,0.000132617200450898,0.000198925800676348,0,0.00155825210529806,0,0.0000663086002254492,0,0.000497314501690869
Prof-specialty,0.000298388701014522,0.000663086002254492,0.000298388701014522,0.000132617200450898,0.0000331543001127246,0.000265234400901797,0.0000994629003381739,0.00450898481533055,0.00563623101916319,0.0484384324646907,0.0100125986340428,0.00759233472581394,0.0271533717923215,0.0000331543001127246,0.014687354949937,0.0140242689476825
Protective-serv,0.000198925800676348,0.000232080100789072,0.000165771500563623,0.0000331543001127246,0.0000331543001127246,0.000298388701014522,0.000132617200450898,0.00112724620383264,0.00159140640541078,0.00331543001127246,0,0.00712817452423579,0.000497314501690869,0,0.0000331543001127246,0.00656455142231947
Sales,0.00265234400901797,0.00464160201578145,0.00145878920495988,0.000232080100789072,0.000364697301239971,0.000961474703269014,0.00106093760360719,0.0047079106160069,0.00344804721172336,0.0262913599893906,0.000265234400901797,0.0348783237185863,0.00427690471454148,0,0.000563623101916319,0.0330216829122737
Tech-support,0.0000994629003381739,0.000198925800676348,0.0000994629003381739,0,0.0000331543001127246,0.000165771500563623,0.0000663086002254492,0.00238710960811617,0.0041774418142033,0.00739340892513759,0.0000663086002254492,0.00520522511769777,0.00112724620383264,0,0.000232080100789072,0.00898481533054837
Transport-moving,0.00275180690935614,0.00305019561037067,0.00122670910417081,0.000232080100789072,0.000895166103043565,0.00198925800676348,0.00116040050394536,0.000895166103043565,0.00132617200450898,0.00182348650619985,0.0000331543001127246,0.0270539088919833,0.000298388701014522,0,0.0000994629003381739,0.00928320403156289
