rn,Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving
Cambodia,0,0,0.000198925800676348,0.0000331543001127246,0.0000331543001127246,0,0.000132617200450898,0.0000331543001127246,0,0.0000994629003381739,0,0.0000663086002254492,0,0
Canada,0.000397851601352695,0,0.000497314501690869,0.00043100590146542,0.0000663086002254492,0.0000663086002254492,0.000165771500563623,0.000397851601352695,0,0.000795703202705391,0.0000663086002254492,0.000298388701014522,0.0000994629003381739,0.000265234400901797
China,0.0000663086002254492,0,0.0000994629003381739,0.000331543001127246,0,0,0.000265234400901797,0.000530468801803594,0,0.000729394602479942,0,0.000165771500563623,0.0000663086002254492,0
Columbia,0.000265234400901797,0,0.000298388701014522,0.000132617200450898,0,0.0000994629003381739,0.000331543001127246,0.000265234400901797,0.0000331543001127246,0.000165771500563623,0,0.0000994629003381739,0.0000994629003381739,0.0000663086002254492
Cuba,0.000397851601352695,0,0.000232080100789072,0.000530468801803594,0.0000663086002254492,0.0000994629003381739,0.000198925800676348,0.00043100590146542,0.0000663086002254492,0.000364697301239971,0.0000663086002254492,0.000331543001127246,0,0.000265234400901797
Dominican-Republic,0.000132617200450898,0,0.000198925800676348,0.0000663086002254492,0,0.000165771500563623,0.000729394602479942,0.000397851601352695,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0.000265234400901797,0,0.0000994629003381739
Ecuador,0.0000331543001127246,0,0.000132617200450898,0.0000331543001127246,0,0.0000331543001127246,0.000265234400901797,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492,0,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492
El-Salvador,0.000132617200450898,0,0.000497314501690869,0.0000663086002254492,0.0000663086002254492,0.000232080100789072,0.000198925800676348,0.00132617200450898,0.000198925800676348,0.000232080100789072,0,0.000232080100789072,0,0.000132617200450898
England,0.000232080100789072,0,0.000265234400901797,0.000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0.000232080100789072,0.0000994629003381739,0.000696240302367217,0.0000994629003381739,0.000232080100789072,0.000132617200450898,0
France,0.0000331543001127246,0,0,0.000232080100789072,0.0000331543001127246,0,0,0.0000663086002254492,0.0000663086002254492,0.000265234400901797,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0
