rn,Federal-gov,Local-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay
10th,0.000198925800676348,0.00102778330349446,0.0227438498773291,0.000629931702141768,0.0021550295073271,0.00043100590146542,0
11th,0.000298388701014522,0.00119355480405809,0.0304024932033685,0.00043100590146542,0.00195610370665075,0.000464160201578145,0
12th,0.000165771500563623,0.000629931702141768,0.0105762217359592,0.000198925800676348,0.000596777402029043,0.000331543001127246,0
1st-4th,0,0.000132617200450898,0.00440952191499238,0.0000331543001127246,0.000397851601352695,0.0000331543001127246,0
5th-6th,0.0000331543001127246,0.000265234400901797,0.00838803792851933,0.0000994629003381739,0.000629931702141768,0.000132617200450898,0
7th-8th,0.0000663086002254492,0.000895166103043565,0.013725880246668,0.000331543001127246,0.00308334991048339,0.000331543001127246,0.0000331543001127246
9th,0.0000994629003381739,0.000762548902592666,0.0125986340428354,0.000298388701014522,0.00112724620383264,0.000198925800676348,0
Assoc-acdm,0.00182348650619985,0.00285126980969432,0.0238710960811617,0.00116040050394536,0.00232080100789072,0.00135932630462171,0.0000331543001127246
Assoc-voc,0.00125986340428354,0.00281811550958159,0.0329222200119355,0.00122670910417081,0.00358066441217426,0.00152509780518533,0
Bachelors,0.006862940123334,0.0155825210529806,0.114548106889464,0.00858696372919568,0.0128307141436244,0.00881904382998475,0
Doctorate,0.000497314501690869,0.00086201180293084,0.00570253961938863,0.00109409190371991,0.00152509780518533,0.00275180690935614,0
HS-grad,0.0086201180293084,0.0165108414561369,0.2545587162655,0.00895166103043565,0.028413235196605,0.0088853524302102,0.000298388701014522
Masters,0.0021550295073271,0.0111398448378755,0.0286121609972814,0.0025528811086798,0.00397851601352695,0.00550361381871229,0
Preschool,0,0.000132617200450898,0.00132617200450898,0,0,0.0000331543001127246,0
Prof-school,0.00086201180293084,0.000961474703269014,0.00818911212784298,0.00261918970890524,0.0043100590146542,0.00102778330349446,0
Some-college,0.00832172932829388,0.012764405543399,0.166301969365427,0.00739340892513759,0.0159472183542205,0.0105762217359592,0.0000994629003381739
