rn,10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college
Cambodia,0,0,0.0000331543001127246,0.0000331543001127246,0,0.0000331543001127246,0,0,0,0.0000994629003381739,0,0.000232080100789072,0,0.0000331543001127246,0,0.000132617200450898
Canada,0.0000663086002254492,0.000132617200450898,0,0,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0.0000331543001127246,0.000198925800676348,0.000729394602479942,0.000232080100789072,0.000928320403156289,0.000232080100789072,0,0.0000663086002254492,0.000729394602479942
China,0.0000663086002254492,0,0,0,0,0.000132617200450898,0.0000663086002254492,0,0,0.000629931702141768,0.000298388701014522,0.000530468801803594,0.000364697301239971,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492
Columbia,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0.0000994629003381739,0.000132617200450898,0.000165771500563623,0.000132617200450898,0.0000331543001127246,0.000596777402029043,0.0000331543001127246,0,0.0000663086002254492,0.000298388701014522
Cuba,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0.0000994629003381739,0.000132617200450898,0.000198925800676348,0.0000663086002254492,0.0000994629003381739,0.0000663086002254492,0.000563623101916319,0.0000663086002254492,0.000762548902592666,0.000165771500563623,0,0.0000994629003381739,0.000563623101916319
Dominican-Republic,0.000132617200450898,0.000132617200450898,0.000165771500563623,0.000198925800676348,0.0000663086002254492,0.000298388701014522,0.000165771500563623,0,0.0000331543001127246,0.0000994629003381739,0,0.000530468801803594,0.0000663086002254492,0.0000663086002254492,0,0.000265234400901797
Ecuador,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0,0.0000331543001127246,0,0,0.0000331543001127246,0.0000994629003381739,0,0.000331543001127246,0.0000663086002254492,0,0,0.000232080100789072
El-Salvador,0.000132617200450898,0.000132617200450898,0.0000663086002254492,0.000331543001127246,0.000596777402029043,0.000132617200450898,0.000298388701014522,0.0000663086002254492,0,0.000165771500563623,0.0000331543001127246,0.000663086002254492,0.0000994629003381739,0.0000994629003381739,0.0000331543001127246,0.000464160201578145
England,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0,0,0.000165771500563623,0.0000994629003381739,0.000762548902592666,0.000132617200450898,0.00086201180293084,0.000298388701014522,0,0.0000331543001127246,0.000331543001127246
France,0,0,0,0,0,0,0,0.0000994629003381739,0,0.000232080100789072,0.0000994629003381739,0.000198925800676348,0.000165771500563623,0,0.0000331543001127246,0.0000663086002254492
Germany,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0,0,0.0000663086002254492,0,0.000165771500563623,0.000331543001127246,0.00109409190371991,0.000198925800676348,0.00086201180293084,0.000165771500563623,0,0.000132617200450898,0.00106093760360719
Greece,0.0000331543001127246,0.0000331543001127246,0,0,0.0000331543001127246,0.0000663086002254492,0,0,0.000132617200450898,0.0000663086002254492,0,0.000298388701014522,0.0000994629003381739,0,0.0000331543001127246,0.000165771500563623
Guatemala,0.000132617200450898,0.000132617200450898,0.0000663086002254492,0.000298388701014522,0.000265234400901797,0.000265234400901797,0.000132617200450898,0,0.0000331543001127246,0.0000331543001127246,0,0.000497314501690869,0,0.0000331543001127246,0,0.000198925800676348
Haiti,0.0000331543001127246,0.0000663086002254492,0,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0.0000994629003381739,0.0000663086002254492,0,0.000165771500563623,0,0.000397851601352695,0,0,0.0000331543001127246,0.000364697301239971
