rn,Federal-gov,Local-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay
Adm-clerical,0.010476758835621,0.00931635833167562,0.0925999602148399,0.000928320403156289,0.00162456070552351,0.00832172932829388,0.0000994629003381739
Armed-Forces,0.000298388701014522,0,0,0,0,0,0
Craft-repair,0.00208872090710165,0.00474106491611962,0.104303428154632,0.00328227571115974,0.017339698958955,0.00182348650619985,0.0000331543001127246
Exec-managerial,0.00593461972017771,0.00702871162389762,0.0877594323983821,0.012764405543399,0.0126980969431735,0.00616669982096678,0
Farming-fishing,0.000265234400901797,0.000961474703269014,0.0149194350507261,0.00169086930574896,0.0142563490484716,0.000497314501690869,0.000198925800676348
Handlers-cleaners,0.000729394602479942,0.00152509780518533,0.0416086466414694,0.0000663086002254492,0.000497314501690869,0.000298388701014522,0.0000331543001127246
Machine-op-inspct,0.000464160201578145,0.000364697301239971,0.0623963928121477,0.000331543001127246,0.00116040050394536,0.00043100590146542,0.0000331543001127246
Other-service,0.00112724620383264,0.00626616272130495,0.0883562098004111,0.000895166103043565,0.00573569391950136,0.00407797891386513,0.0000331543001127246
Priv-house-serv,0,0,0.00474106491611962,0,0,0,0
Prof-specialty,0.00553676811882501,0.0229427756780054,0.0747297924540813,0.00520522511769777,0.0121013195411445,0.013361182945428,0
Protective-serv,0.000895166103043565,0.0100789072342683,0.00616669982096678,0.000165771500563623,0.000198925800676348,0.00384589881307606,0
Sales,0.000464160201578145,0.000232080100789072,0.0959816988263378,0.00931635833167562,0.0124660168423845,0.000364697301239971,0
Tech-support,0.00218818380743982,0.00125986340428354,0.0239705589814999,0.0000994629003381739,0.00086201180293084,0.00185664080631258,0
Transport-moving,0.000795703202705391,0.00381274451296333,0.0413434122405676,0.00086201180293084,0.00391220741330151,0.00135932630462171,0.0000331543001127246
